Variant_x,SignalDate,NextDate,Baseline_GrossReturn,Baseline_NetReturn,Baseline_Turnover,Baseline_NAV,Baseline_Holdings,Variant_y,Candidate_GrossReturn,Candidate_NetReturn,Candidate_Turnover,Candidate_NAV,Candidate_Holdings,Baseline_DominantSector,Baseline_DominantSectorWeight,Baseline_DominantSectorCount,Baseline_ITWeight,Candidate_DominantSector,Candidate_DominantSectorWeight,Candidate_DominantSectorCount,Candidate_ITWeight,NetReturnDelta,TurnoverDelta,OverlayTriggered,LossMonthBaseline,LossMonthCandidate,LossReduced
rule_sector_cap2_breadth_it_us5_top2_risk_on,2021-04-30,2021-06-30,0.025420066490546823,0.025020066490546822,0.4,1.9295252372371723,5,rule_sector_cap2_breadth_it_us5_top2_convex_risk_on,0.025420066490546823,0.025020066490546822,0.4,1.9295252372371723,5,Financials,0.4,2,0.4,Financials,0.4,2,0.4,0.0,0.0,0,0,0,0
rule_sector_cap2_breadth_it_us5_top2_risk_on,2021-06-30,2021-07-30,-0.03891790266326245,-0.04058456932992911,1.6666666666666667,1.8512162864726722,6,rule_sector_cap2_breadth_it_us5_top2_convex_risk_on,-0.03891790266326245,-0.04058456932992911,1.6666666666666667,1.8512162864726722,6,Financials,0.3333333333333333,2,0.3333333333333333,Financials,0.3333333333333333,2,0.3333333333333333,0.0,0.0,0,1,1,0
rule_sector_cap2_breadth_it_us5_top2_risk_on,2021-07-30,2021-08-31,0.08052319129175443,0.07885652462508777,1.6666666666666665,1.9971967691532682,5,rule_sector_cap2_breadth_it_us5_top2_convex_risk_on,0.08052319129175443,0.07885652462508777,1.6666666666666665,1.9971967691532682,5,Financials,0.4,2,0.4,Financials,0.4,2,0.4,0.0,0.0,0,0,0,0
rule_sector_cap2_breadth_it_us5_top2_risk_on,2021-08-31,2021-09-30,0.02128537700021177,0.02028537700021177,1.0,2.0377106585591473,4,rule_sector_cap2_breadth_it_us5_top2_convex_risk_on,0.02128537700021177,0.02028537700021177,1.0,2.0377106585591473,4,ETF,0.1875,1,0.1875,ETF,0.1875,1,0.1875,0.0,0.0,0,0,0,0
rule_sector_cap2_breadth_it_us5_top2_risk_on,2021-09-30,2021-10-29,0.08603403539570031,0.08461736872903365,1.4166666666666665,2.2101363727175287,6,rule_sector_cap2_breadth_it_us5_top2_convex_risk_on,0.08603403539570031,0.08461736872903365,1.4166666666666665,2.2101363727175287,6,Financials,0.3333333333333333,2,0.16666666666666666,Financials,0.3333333333333333,2,0.16666666666666666,0.0,0.0,0,0,0,0
rule_sector_cap2_breadth_it_us5_top2_risk_on,2021-10-29,2021-11-30,0.031736341131765364,0.030069674465098697,1.6666666666666665,2.276594453968619,6,rule_sector_cap2_breadth_it_us5_top2_convex_risk_on,0.031736341131765364,0.030069674465098697,1.6666666666666665,2.276594453968619,6,Financials,0.3333333333333333,2,0.3333333333333333,Financials,0.3333333333333333,2,0.3333333333333333,0.0,0.0,0,0,0,0
rule_sector_cap2_breadth_it_us5_top2_risk_on,2021-11-30,2022-02-28,-0.16102216745074738,-0.1623555007840807,1.3333333333333333,1.906976821312283,6,rule_sector_cap2_breadth_it_us5_top2_convex_risk_on,-0.16102216745074738,-0.1623555007840807,1.3333333333333333,1.906976821312283,6,Health Care,0.3333333333333333,2,0.3333333333333333,Health Care,0.3333333333333333,2,0.3333333333333333,0.0,0.0,0,1,1,0
rule_sector_cap2_breadth_it_us5_top2_risk_on,2022-02-28,2022-03-31,0.0337419711860378,0.0319919711860378,1.75,1.9679847688321475,4,rule_sector_cap2_breadth_it_us5_top2_convex_risk_on,0.0337419711860378,0.0319919711860378,1.75,1.9679847688321475,4,Energy,0.375,2,,Energy,0.375,2,,0.0,0.0,0,0,0,0
rule_sector_cap2_breadth_it_us5_top2_risk_on,2022-03-31,2022-04-29,-0.026962837151411026,-0.028462837151411027,1.5,1.9119703388404208,4,rule_sector_cap2_breadth_it_us5_top2_convex_risk_on,-0.026962837151411026,-0.028462837151411027,1.5,1.9119703388404208,4,ETF,0.1875,1,0.1875,ETF,0.1875,1,0.1875,0.0,0.0,0,1,1,0
rule_sector_cap2_breadth_it_us5_top2_risk_on,2022-04-29,2022-05-31,0.07006035890213023,0.06831035890213023,1.75,2.0425777188968377,5,rule_sector_cap2_breadth_it_us5_top2_convex_risk_on,0.07006035890213023,0.06831035890213023,1.75,2.0425777188968377,5,Energy,0.4,2,,Energy,0.4,2,,0.0,0.0,0,0,0,0
